Date of Sale (dd/mm/yyyy),Address,Postal Code,County,Price (€),Not Full Market Price,VAT Exclusive,Description of Property,Property Size Description
"27/02/2013","Rooskey, Quigley's Point","","Donegal","€160,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"27/02/2013","The Glebe, Stranorlar","","Donegal","€55,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"27/02/2013","The Orchard, Kerdiffstown, Sallins","","Kildare","€280,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"27/02/2013","White Lodge, Cross Avenue, Blackrock","","Dublin","€370,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"28/02/2013","1 St John's Avenue, Pimlico","","Dublin","€130,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"28/02/2013","1 Walkinstown Close, Walkinstown","Dublin 12","Dublin","€91,040.00","Yes","No","Second-Hand Dwelling house /Apartment",""
"28/02/2013","10 Deerpark Avenue, Castleknock, Dublin 15","","Dublin","€783,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"28/02/2013","100 Five OaksVillage, Drogheda","","Louth","€169,500.00","No","Yes","New Dwelling house /Apartment","greater than or equal to 38 sq metres and less than 125 sq metres"
"28/02/2013","1046 Avondale, Leixlip","","Kildare","€101,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"28/02/2013","105 South Main Street, Wexford","","Wexford","€35,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"28/02/2013","123A North Strand Road, North Strand, Dublin 3","","Dublin","€232,500.00","No","No","Second-Hand Dwelling house /Apartment",""
"28/02/2013","13 Maiville, Kilrush Road, Ennis","","Clare","€75,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"28/02/2013","13 PARK ROW, GRANGE RATH, COLPE CROSS","","Meath","€185,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"28/02/2013","13a Hillcourt Road, Glenageary","","Dublin","€487,500.00","No","No","Second-Hand Dwelling house /Apartment",""
"28/02/2013","14 Steeplechase Hill, Ratoath","","Meath","€159,471.00","No","Yes","New Dwelling house /Apartment","greater than or equal to 38 sq metres and less than 125 sq metres"
"28/02/2013","14 the Anchorage, Wicklow town, Wicklow","","Wicklow","€95,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"28/02/2013","15 Dun Ri, Athenry, Co Galway","","Galway","€95,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"28/02/2013","16 Cookes Terrace, Bohermore","","Galway","€126,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"28/02/2013","16 Hawthorn Terrace, East Wall","Dublin 3","Dublin","€115,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"28/02/2013","175 Pearse Road, Sallynoggin, Co Dublin","","Dublin","€190,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"28/02/2013","18 Saint Columbas Road, Greenhills, Dublin","Dublin 12","Dublin","€123,750.00","Yes","No","Second-Hand Dwelling house /Apartment",""
"28/02/2013","1A Edenmore Grove, Raheny, Dublin 5","","Dublin","€140,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"28/02/2013","2  Ballyclare Court, Ballyleague, Lanesboro","","Westmeath","€100,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"28/02/2013","2 ARD CAOIN, MANORCUNNINGHAM","","Donegal","€85,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"28/02/2013","2 Mill Lane, Carrick-Beg, Carrick-on-Suir","","Tipperary","€85,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"28/02/2013","2 Newline Road, Letterkenny","","Donegal","€117,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"28/02/2013","22 Reuben Avenue, Rialto","Dublin 8","Dublin","€150,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"28/02/2013","22Ring of Kerry Golf Village, Templenoe, Kenmare","","Kerry","€185,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"28/02/2013","23 Lake Lawn, Douglas","","Cork","€245,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"28/02/2013","24 Ashe Road, Shantalla","","Galway","€131,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"28/02/2013","24 College Court, Kings Inn Street","Dublin 1","Dublin","€95,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"28/02/2013","24 Frankford Close, Enniscrone","","Sligo","€70,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"28/02/2013","24 The Courtyard, Castleredmond, Midleton","","Cork","€185,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"28/02/2013","26  Coolevin Park, Coosan, Athlone","","Westmeath","€145,500.00","No","No","Second-Hand Dwelling house /Apartment",""
"28/02/2013","26 Ashfield, Templeogue, Dublin 6W","","Dublin","€470,500.00","No","No","Second-Hand Dwelling house /Apartment",""
"28/02/2013","27 Tuscany Park, Baldoyle, Dublin 13","Dublin 13","Dublin","€257,500.00","No","No","Second-Hand Dwelling house /Apartment",""
"28/02/2013","282 The Paddocks, Langford Street, Killorglin","","Kerry","€127,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"28/02/2013","29 Glenrichards Wood, Poulshone, Courtown","","Wexford","€75,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"28/02/2013","29 Tinahask Lower, Arklow","","Wicklow","€129,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"28/02/2013","3 Church Hill, Granard","","Longford","€15,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"28/02/2013","3 Muirhevna, Dublin Road, Dundalk","","Louth","€162,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"28/02/2013","3 Upper Main Street, Ballyhaunis","","Mayo","€39,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"28/02/2013","31 Woodbrook Lawn, Bray","","Wicklow","€221,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"28/02/2013","32 Bulfin Gardens, Inchicore, Dublin 8","","Dublin","€110,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"28/02/2013","32 Parkvale, Baldoyle, Dublin 13","","Dublin","€170,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"28/02/2013","321 Sundays Well, Naas","","Kildare","€187,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"28/02/2013","4  Boice Court, Mell, Drogheda","","Louth","€62,500.00","No","No","New Dwelling house /Apartment","greater than or equal to 38 sq metres and less than 125 sq metres"
"28/02/2013","4 The Maples, Doonsalla Drive, Cabinteely","","Dublin","€333,025.00","No","Yes","New Dwelling house /Apartment","greater than 125 sq metres"
"28/02/2013","40 'Crannog', Lagore Road, Dunshaughlin","","Meath","€265,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"28/02/2013","43 45  47, lower main street, buncrana","","Donegal","€665,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"28/02/2013","44 Sebrook, Rush","","Dublin","€140,969.16","No","Yes","New Dwelling house /Apartment","greater than or equal to 38 sq metres and less than 125 sq metres"
"28/02/2013","48 St Fachtna's Terrace, Skibbereen","","Cork","€28,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"28/02/2013","5 BEECHWOOD AVENUE LOWER, RANELAGH, DUBLIN 6","Dublin 6","Dublin","€665,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"28/02/2013","5 Castle Bawn, Ballintubber","","Roscommon","€33,500.00","No","Yes","New Dwelling house /Apartment","less than 38 sq metres"
"28/02/2013","5 Millfield, Ballycanew","","Wexford","€85,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"28/02/2013","52 Broadford Park, Ballinteer, Dublin","Dublin 16","Dublin","€322,500.00","No","No","Second-Hand Dwelling house /Apartment",""
